                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 1.0589,                0.62492,                  1.292,                 0.9839,                0.94918,                 0.9833,                0.71626,                0.98434,                0.39102,                 1.2375,                0.00505,                0.00505,                0.00505
                    102,                 1.0517,                0.61201,                 1.2825,                0.98538,                0.94868,                0.98206,                0.71531,                0.98481,                0.39232,                 1.2321,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.0514,                0.61968,                 1.2808,                0.98538,                0.95599,                0.98089,                0.71422,                0.97337,                 0.3947,                 1.2261,               0.004951,               0.004951,               0.004951
                    104,                 1.0594,                0.62758,                 1.2909,                0.98536,                 0.9547,                0.98082,                0.71895,                 0.9716,                0.38753,                 1.2251,              0.0049015,              0.0049015,              0.0049015
                    105,                  1.049,                0.61928,                 1.2758,                0.98542,                0.95821,                0.98204,                0.71379,                0.98582,                0.38661,                 1.2348,               0.004852,               0.004852,               0.004852
                    106,                 1.0496,                 0.6221,                 1.2846,                0.98485,                0.94936,                0.97882,                0.71665,                0.98169,                0.39548,                 1.2335,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.0516,                0.61514,                 1.2806,                0.98181,                0.94757,                0.97992,                0.71724,                0.97779,                0.39488,                 1.2316,               0.004753,               0.004753,               0.004753
                    108,                 1.0422,                0.60382,                 1.2682,                0.97851,                0.95316,                0.97981,                0.71055,                0.98182,                0.39038,                 1.2319,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.0412,                0.60998,                  1.274,                0.98369,                0.95138,                0.98031,                0.71825,                0.97592,                0.39028,                 1.2253,               0.004654,               0.004654,               0.004654
                    110,                 1.0487,                0.62061,                 1.2831,                0.98737,                0.95206,                0.98203,                0.72127,                0.97038,                0.38197,                 1.2258,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.0396,                0.60887,                 1.2818,                0.98739,                0.95138,                0.98273,                0.72399,                0.97238,                0.38168,                 1.2278,               0.004555,               0.004555,               0.004555
                    112,                 1.0505,                0.61301,                 1.2796,                0.98292,                0.95003,                0.98249,                 0.7246,                0.97102,                0.37865,                 1.2267,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.0327,                0.59833,                 1.2718,                0.97661,                0.95881,                0.98016,                 0.7248,                0.97307,                0.37656,                 1.2276,               0.004456,               0.004456,               0.004456
                    114,                 1.0308,                0.60709,                 1.2642,                 0.9806,                0.95556,                0.98055,                0.72046,                0.97135,                0.37958,                 1.2275,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.0333,                0.59591,                 1.2676,                0.98337,                0.95273,                0.98117,                0.71958,                0.96743,                0.37674,                 1.2251,               0.004357,               0.004357,               0.004357
                    116,                 1.0264,                0.59561,                 1.2652,                0.98326,                 0.9518,                0.97913,                0.72021,                0.96818,                0.37566,                 1.2222,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.0218,                0.58431,                 1.2611,                0.97886,                0.95949,                0.98231,                0.71992,                0.97157,                0.37044,                 1.2248,               0.004258,               0.004258,               0.004258
                    118,                 1.0312,                0.59614,                 1.2714,                0.97588,                0.96084,                0.98243,                0.72219,                0.97324,                0.37387,                 1.2246,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.0226,                0.59424,                  1.266,                0.98401,                 0.9558,                0.98184,                0.72156,                0.96953,                0.37772,                  1.223,               0.004159,               0.004159,               0.004159
                    120,                 1.0211,                0.58598,                 1.2595,                0.97786,                0.96016,                0.98067,                0.72627,                0.95846,                0.37314,                 1.2192,              0.0041095,              0.0041095,              0.0041095
